Price,Taxes,"outbound 1 airport departure","outbound 1 airport arrival","outbound 1 time departure","outbound 1 time arrival","outbound 1 flight number","outbound 2 airport departure","outbound 2 airport arrival","outbound 2 time departure","outbound 2 time arrival","outbound 2 flight number","inbound 1 airport departure","inbound 1 airport arrival","inbound 1 time departure","inbound 1 time arrival","inbound 1 flight number","inbound 2 airport departure","inbound 2 airport arrival","inbound 2 time departure","inbound 2 time arrival","inbound 2 flight number",Cheapest
665.84,28.84,MAD,TFN,"2024-02-09 11:40","2024-02-09 13:35",UX9118,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 08:10","2024-02-16 08:50",UX2120,LPA,MAD,"2024-02-16 10:00","2024-02-16 13:45",UX9161,No
665.84,28.84,MAD,TFN,"2024-02-09 11:40","2024-02-09 13:35",UX9118,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 10:30","2024-02-16 11:10",UX2122,LPA,MAD,"2024-02-16 18:00","2024-02-16 21:50",UX9165,No
665.84,28.84,MAD,TFN,"2024-02-09 07:05","2024-02-09 09:00",UX9059,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 08:10","2024-02-16 08:50",UX2120,LPA,MAD,"2024-02-16 10:00","2024-02-16 13:45",UX9161,No
665.84,28.84,MAD,TFN,"2024-02-09 07:05","2024-02-09 09:00",UX9059,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 10:30","2024-02-16 11:10",UX2122,LPA,MAD,"2024-02-16 18:00","2024-02-16 21:50",UX9165,No
665.84,28.84,MAD,TFN,"2024-02-09 11:40","2024-02-09 13:35",UX9118,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 08:10","2024-02-16 08:50",UX2120,LPA,MAD,"2024-02-16 10:00","2024-02-16 13:45",UX9161,No
665.84,28.84,MAD,TFN,"2024-02-09 11:40","2024-02-09 13:35",UX9118,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 10:30","2024-02-16 11:10",UX2122,LPA,MAD,"2024-02-16 18:00","2024-02-16 21:50",UX9165,No
700.84,28.84,MAD,TFN,"2024-02-09 07:05","2024-02-09 09:00",UX9059,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 08:10","2024-02-16 08:50",UX2120,LPA,MAD,"2024-02-16 10:00","2024-02-16 13:45",UX9161,No
700.84,28.84,MAD,TFN,"2024-02-09 07:05","2024-02-09 09:00",UX9059,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 10:30","2024-02-16 11:10",UX2122,LPA,MAD,"2024-02-16 18:00","2024-02-16 21:50",UX9165,No
700.84,28.84,MAD,TFN,"2024-02-09 11:40","2024-02-09 13:35",UX9118,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 08:10","2024-02-16 08:50",UX2120,LPA,MAD,"2024-02-16 10:00","2024-02-16 13:45",UX9161,No
700.84,28.84,MAD,TFN,"2024-02-09 11:40","2024-02-09 13:35",UX9118,TFN,FUE,"2024-02-09 15:20","2024-02-09 16:10",UX2139,FUE,LPA,"2024-02-16 10:30","2024-02-16 11:10",UX2122,LPA,MAD,"2024-02-16 18:00","2024-02-16 21:50",UX9165,No
